filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
E:\LICENTA\instruments_equalised\Acoustic_guitar\0356dec7.wav,66150,0.24575524,0.09858981,0.056767933,0.005146652,977.0709568089984,170887.223469841,1443.4989844666525,170737.43023539404,1622.0299353966345,1548215.9881932142,0.04660456730769231,0.00010087329255053277,0.17455196,0.05286494,117.45383522727273,-328.63684,9310.074,119.04087,346.13184,38.30647,283.71075,23.160881,205.18732,-0.29303354,47.46197,-1.8725448,26.877752,-1.1389918,15.453412,0.3095743,35.15054,-8.924879,15.414425,-14.055166,30.514908,-18.072556,48.657524,-7.713502,7.574078,-9.898267,36.94535,-10.573099,73.90726,2.192636,26.743317,9.564226,18.09053,7.389156,63.679657,9.7092905,30.392721,3.6059482,59.27717,0.8542354,28.218355,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\0eeaebcb.wav,66150,0.22065699,0.09092521,0.1784216,0.006080215,1588.283917034986,676105.9901128286,2016.5035336599994,298664.50975652196,3438.8525390625,4552558.61078409,0.06758563701923077,0.0020359728322226624,0.17991868,0.050962605,117.45383522727273,-218.55267,3621.9702,103.47605,922.42706,23.504732,270.19476,23.754433,145.38632,-0.39809847,134.60345,25.678621,108.29804,-35.43805,51.311043,0.39706117,146.4201,-18.476849,122.40093,-10.754137,79.69139,-17.106913,64.358185,-22.792397,82.95679,-15.794261,56.130024,-18.043142,109.534645,0.0415856,135.96875,3.2147765,159.69328,3.8603995,115.47092,12.041192,199.10757,2.0399523,166.83203,5.6924562,91.69868,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\10da16fb.wav,66150,0.17692354,0.07640795,0.044459805,0.0035487711,841.8796955474572,21242.2117658996,1569.409303993642,82663.97436168173,1071.8565955528845,238675.2242405739,0.034266075721153845,2.9055761867726346e-05,0.17209479,0.05371672,117.45383522727273,-394.0869,9664.977,113.70967,1844.8546,42.564274,465.89557,16.812822,99.74642,-0.20164326,110.47766,6.097291,20.572855,9.173254,43.009228,1.3064594,29.713984,-0.8674287,29.138002,4.5862794,11.422701,1.792488,20.32477,-0.6637836,5.4510226,-10.789496,64.46181,-6.6543183,34.58128,-1.8272425,65.960976,9.81486,26.261026,16.589718,22.789637,9.57704,8.952516,6.1027446,8.277847,4.5186496,9.067874,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\160c92d7.wav,66150,0.19087155,0.094316944,0.05175758,0.0041620033,890.4701128055888,30064.871595809163,1536.2433637425602,78541.72003694822,1175.0503305288462,278938.0489656911,0.036560997596153846,7.024183781189326e-05,0.16882567,0.054831225,117.45383522727273,-389.81982,13944.221,112.67662,1628.6346,35.70593,637.9391,11.239998,135.4889,-1.5311458,94.277596,5.7268233,28.564585,4.6703887,21.795736,-2.4769886,30.094347,-1.4948705,23.551886,8.166019,31.30318,5.718786,23.61229,-4.2415676,9.678971,-18.299725,145.11797,-9.171277,39.617336,-1.0667245,51.6905,13.242462,23.932419,18.36369,29.398151,8.077231,17.637049,5.9550066,20.923979,7.048464,7.303474,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\16c9a838.wav,66150,0.13803397,0.07651932,0.07425498,0.007900116,560.5336403088295,12840.898984544523,628.3932787505248,71073.8516837045,727.1597055288462,87929.83224899812,0.03461162860576923,2.0796095831154365e-05,0.119099855,0.069148555,117.45383522727273,-426.3965,3603.9543,71.80411,1336.2015,20.656393,51.30812,-1.9270775,111.87105,-8.948507,83.9069,-10.686295,48.166134,-12.812091,27.540367,-14.607213,41.69346,-16.242567,23.709518,-17.515678,18.359085,-16.54638,20.25618,-13.092625,49.1281,-3.5976305,61.82045,4.950739,22.122063,5.1455665,16.554182,0.12753332,21.71892,-3.9821792,35.987328,-3.3874958,40.806038,0.258488,13.8122,2.3058012,22.196413,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\17f82c05.wav,66150,0.19568051,0.08136114,0.056056127,0.0063928026,572.6671546049054,76734.16239460564,944.0091617285306,109184.08161472743,848.1597430889423,605784.3899292706,0.029240534855769232,3.9693519208558215e-05,0.11944852,0.069065385,117.45383522727273,-372.81015,8229.951,111.25544,1065.9724,37.070164,878.8967,21.162493,388.35416,11.858966,73.56367,6.09552,37.12039,-1.5737087,93.89501,-4.93059,47.378357,-5.3669834,22.672674,-10.213295,24.830338,-16.51142,21.752851,-12.436945,18.23209,-3.165294,27.460892,-1.0296518,14.992947,-4.8028007,46.426792,-4.7753882,19.729208,-2.7232373,7.8451343,-2.9881818,12.757794,-3.6492605,10.321109,-2.285942,6.8261943,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\2016d256.wav,66150,0.08406851,0.058957007,0.0779833,0.010695846,953.248553879365,502477.2924409964,715.9457424819799,382544.642725072,1205.528094951923,1620985.4361821914,0.06569260817307693,0.0018095352240568084,0.14859994,0.06125139,117.45383522727273,-491.78372,9333.121,22.424936,709.4493,-15.357044,167.17627,-17.335655,229.03668,-13.3926325,119.345406,-2.905487,37.214417,13.069402,105.767876,23.710526,297.86816,13.077009,114.43893,-9.478206,40.802784,-25.19303,300.1637,-14.857889,107.30686,9.777278,71.46967,18.718422,202.78256,7.4623823,71.42376,-0.09905102,15.764423,-4.3758807,27.609291,-16.956593,135.54295,-18.313654,236.14682,8.126742,52.53994,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\236cbab1.wav,66150,0.38828877,0.09966744,0.13247311,0.0043931305,548.8585399348887,55623.60508066651,1411.6402430475262,115784.57510891062,427.1856219951923,441923.76658747176,0.017352764423076924,0.00013184970652563332,0.14182465,0.0632191,234.90767045454547,-378.94925,6362.01,120.858055,1015.01733,58.398537,452.56152,42.447803,75.38833,31.25468,62.91113,31.753588,43.880928,16.76837,35.17528,2.671402,51.86893,-11.011111,55.973812,-17.718445,80.23045,-23.460764,126.18105,-19.209547,75.19058,-13.408994,28.395395,-7.5429554,29.266869,-2.3289802,7.8090925,1.4365768,18.939758,-6.189148,20.830994,-12.085056,14.468953,-19.18507,12.391036,-15.422577,13.672211,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\32dee61b.wav,66150,0.27447495,0.083261184,0.069245175,0.0041896426,621.381072298731,15928.473900234416,1417.0380924392603,57381.266334927175,686.1637995793269,108117.04383252641,0.01893780048076923,4.5783646713347125e-05,0.15318012,0.05986919,0,-375.57452,9646.685,150.1282,624.6773,60.37486,592.75,37.096146,44.428215,17.839615,32.355705,12.991498,17.195602,3.2332585,50.11295,-6.4862533,85.52426,5.888009,14.154847,13.040228,67.98569,-7.0022926,86.58798,-3.7164726,33.89227,-5.0299387,33.71389,-0.69056624,6.76796,3.7134407,14.379599,5.545042,6.7414417,1.0103331,11.771794,-3.0036979,22.541973,-7.9185357,66.258896,-6.335916,25.112011,Acoustic_guitar
E:\LICENTA\instruments_equalised\Acoustic_guitar\34747922.wav,66150,0.14256322,0.07652222,0.013232125,0.0005908358,1238.6686640248179,181702.28958421506,1680.266396679923,391434.3668268611,1879.8486328125,1445516.277061976,0.050612229567307696,0.0007297615327778652,0.119290106,0.0691032,0,-592.0898,12132.941,40.4561,204.95247,-0.54815483,301.9203,-0.3611314,221.96439,-2.3972309,74.76726,-6.2696185,57.709087,-6.4057736,58.199123,-2.8573043,41.01797,-5.841135,69.948105,-14.152503,26.863,-11.118057,25.675587,-5.290555,9.12318,-7.013854,16.36028,-11.269225,25.062088,-14.773546,38.24328,-8.574695,18.567808,5.0119495,48.686382,27.11313,93.25406,43.628517,261.1461,39.865555,229.59628,Acoustic_guitar
