filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
E:\LICENTA\IRMAS-TrainingData\cel\008__[cel][nod][cla]0058__1.wav,66150,0.27086762,0.08877933,0.005637134,7.1764207e-06,1184.848700428092,44151.45838272945,1475.2746810066285,11405.120436027444,2165.6604942908652,107694.9589079301,0.06629732572115385,0.00047386340135653344,0.2006663,0.043066368,95.703125,-501.39926,517.3006,142.08958,231.17722,-24.880325,124.887276,34.141106,63.75259,17.978477,80.5326,5.720815,43.355587,-5.698264,49.984066,-0.7004188,81.97748,-7.092958,72.86368,2.6972587,76.903625,-1.0029321,41.8202,1.2087135,26.088018,-1.1172696,37.855984,8.581,100.979416,8.501752,59.092922,8.103087,83.682045,0.76608956,184.53354,0.56440336,78.07879,2.8705218,177.32228,15.919999,295.22638,cel
E:\LICENTA\IRMAS-TrainingData\cel\008__[cel][nod][cla]0058__2.wav,66150,0.23686081,0.08601605,0.009956562,2.0931087e-05,1296.5234975576482,73440.80926837306,1576.41335871369,25165.223508195973,2327.5736177884614,145835.52696874153,0.0689227764423077,0.0004541230624949438,0.21141005,0.03863913,117.45383522727273,-446.79788,1441.65,126.65075,439.2103,-26.129934,68.920815,26.274672,97.336555,13.105849,126.55057,3.1261911,104.6441,0.14311963,74.82168,8.864169,41.402054,3.087024,64.568146,2.44033,60.29517,-8.264241,53.540623,-4.982025,42.903854,-14.137113,67.0118,-3.0373635,36.653133,-3.9606094,82.71761,14.509035,99.066635,19.695475,26.513596,14.9183235,181.1335,4.1777787,365.7138,8.915889,410.34146,cel
E:\LICENTA\IRMAS-TrainingData\cel\008__[cel][nod][cla]0058__3.wav,66150,0.19791092,0.08511688,0.015928295,5.4667897e-05,1441.6649755284025,39565.76387011817,1627.2171175114474,29168.206546060046,2482.695500300481,126829.88703889254,0.081689453125,0.0003258068744952862,0.21668048,0.036382902,143.5546875,-400.8372,916.4672,115.45176,240.97708,-31.504057,122.1014,20.905092,94.11566,10.660571,63.463703,1.7632918,66.07506,-8.335675,39.471294,-2.0766788,44.211742,-5.4056706,201.64503,5.0174847,120.091446,-1.4808927,63.531326,6.807166,200.22575,2.9051101,254.05432,7.014177,182.3291,-7.1534786,287.3049,-7.0924606,191.04053,-1.4804636,181.60135,12.298854,519.5253,12.296498,527.86566,26.16147,332.92337,cel
E:\LICENTA\IRMAS-TrainingData\cel\012__[cel][nod][cla]0043__1.wav,66150,0.29296464,0.07931937,0.017609332,5.133964e-05,1615.4077346034187,117103.29398885813,1879.9683150394224,63381.02563809695,3080.5731670673076,403488.00109914073,0.08168194110576923,0.0004875155031328371,0.25198486,0.019836958,151.99908088235293,-311.08597,2150.6877,125.909775,605.37714,-20.341791,45.12338,31.49246,56.31066,6.5428786,27.153418,4.1347494,27.592743,-8.606092,37.40766,0.06283534,33.850903,-5.1121902,46.566532,-2.4607472,29.151972,-5.867075,27.838404,0.7718283,45.205574,2.9259107,25.094246,2.8061767,22.823463,-4.1195264,41.697933,3.5084908,39.805428,-3.5086303,61.95414,-3.650985,42.66434,-2.52059,36.20382,5.1560855,87.65431,cel
E:\LICENTA\IRMAS-TrainingData\cel\012__[cel][nod][cla]0043__2.wav,66150,0.2341356,0.08458854,0.020053962,5.5020486e-05,1758.0061231136194,140585.21200706874,1952.7324998635386,82086.93170992166,3300.377478966346,534709.3588494691,0.08985501802884616,0.0009604837908547305,0.23624183,0.027523128,151.99908088235293,-305.2327,1149.9423,116.129875,740.377,-23.545818,101.69823,19.311094,33.77566,3.0852005,30.41471,2.5105312,41.322372,-7.5853915,58.112125,1.3881035,44.970856,-1.3380713,27.002216,-0.54822326,23.414629,-9.611471,58.123833,-2.1039608,48.119034,3.8075616,41.069443,5.142584,61.118355,1.1588701,115.559166,8.053951,58.869194,1.3631432,70.44859,-1.2009096,116.854385,2.161374,92.96115,11.406509,42.581726,cel
E:\LICENTA\IRMAS-TrainingData\cel\012__[cel][nod][cla]0043__3.wav,66150,0.24771902,0.08684673,0.021839242,5.564163e-05,1931.5207753317266,134350.51629640334,2027.3814524768386,53324.15651546358,3569.6253380408652,478185.04980996513,0.10641150841346154,0.0012304863139722475,0.22927974,0.03076414,151.99908088235293,-290.56995,887.3218,103.210526,511.25998,-28.60421,39.687145,17.878883,51.395275,3.431499,33.898148,0.964702,34.633617,-8.432396,27.070227,1.7936976,20.475567,-1.3556622,57.227036,1.7554241,23.726458,-5.0492754,35.33616,-0.3832915,110.997856,1.8033639,78.15572,7.4047656,137.8693,-4.222397,84.41615,4.0486064,80.20935,-1.4848058,97.90954,1.046314,51.70058,2.3511188,53.949608,4.692295,53.356247,cel
E:\LICENTA\IRMAS-TrainingData\cel\013__[cel][nod][cla]0025__1.wav,66150,0.18715116,0.08304776,0.040628266,0.00036760716,1467.84650629849,42032.96372163545,1609.6907708452434,62969.127333472396,3177.3897611177886,317498.0817541216,0.07246844951923077,0.0002493410279764931,0.21212076,0.038338114,123.046875,-301.98312,3630.2422,134.23573,599.43677,-31.48045,241.6073,70.22073,53.29792,1.3762859,95.282974,13.781097,66.89451,-7.341662,20.397766,-3.1645887,38.092186,-7.5596366,29.152294,1.1508377,35.570137,-1.5896,16.860645,-3.5643296,21.098824,-1.9577845,22.189182,-0.99785835,43.827335,6.3752856,42.98752,9.625744,66.69103,9.184131,103.785545,10.134946,29.517405,5.484276,36.453182,-16.944126,35.88402,cel
E:\LICENTA\IRMAS-TrainingData\cel\013__[cel][nod][cla]0025__2.wav,66150,0.23637614,0.08876276,0.036578096,0.00026505755,1263.8230550869396,29680.863061005213,1505.067056557406,28619.51863971649,2578.3526141826924,161974.10209559827,0.055551382211538464,0.0002073821231458314,0.21379907,0.037623294,99.38401442307692,-307.7713,830.55493,146.15634,209.46664,-28.89867,111.51837,52.376293,64.83149,-3.5865066,15.0510435,8.997546,48.440273,-16.427544,57.64236,-8.795327,53.14419,-15.278536,39.53576,-1.3425722,46.457447,-3.9164608,70.914856,-8.366784,66.3855,-10.027245,25.640919,-8.965391,21.233564,-5.998314,31.51039,-0.534136,18.222878,3.2640157,81.77117,5.175077,92.20165,8.051054,66.94253,5.569228,86.23875,cel
E:\LICENTA\IRMAS-TrainingData\cel\013__[cel][nod][cla]0025__3.wav,66150,0.20283802,0.08367257,0.04644403,0.00027582608,1439.249928115427,21721.051131185803,1470.3525602575378,5255.374129450264,2900.6881009615386,88300.1168396346,0.06464092548076923,0.0002570129710541674,0.2197151,0.035058614,234.90767045454547,-287.96817,565.73126,132.87192,247.29681,-47.682247,147.07472,56.076763,111.53519,-2.8967817,42.303837,5.5117064,39.549324,-13.809661,46.981632,-11.444372,41.364372,-12.9797535,41.681324,-0.11202979,34.091866,-2.6805382,31.702904,-9.558902,22.019592,-2.6348908,27.166456,-8.410165,43.30505,-5.8765073,74.72901,2.9066584,117.73111,5.443883,127.77209,5.3695793,87.37014,11.2192135,158.4935,5.3566384,286.1017,cel
E:\LICENTA\IRMAS-TrainingData\cel\014__[cel][nod][cla]0041__1.wav,66150,0.20923814,0.07777548,0.036121245,0.0001722902,1637.4565147869391,82363.93275579782,1929.276735361742,50376.19712948892,3136.8907752403848,330410.1586695959,0.07158578725961538,0.0004493548178813867,0.22501542,0.032701403,66.25600961538461,-270.19507,2534.797,111.9038,269.9602,-20.917643,80.76895,25.67175,49.304043,6.515472,34.385612,0.68306404,44.549202,-10.928852,33.950497,-3.004753,55.482933,-4.745995,89.59107,-0.4184839,31.033924,-5.693623,30.67521,-0.57939184,36.913254,2.2702248,31.719177,1.2067014,32.120087,-8.884888,38.5375,1.3539883,57.15919,-6.642577,18.96029,-3.2278574,37.899956,-0.34609413,60.18937,11.294962,162.15703,cel
