filename,label,length,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
cel\008__[cel][nod][cla]0058__1.wav,cel,3.0,0.005637134,1184.848700428092,1475.2746810066285,2165.6604942908652,0.06629732572115385,-501.39926,142.08958,-24.880325,34.141106,17.978477,5.720815,-5.698264,-0.7004188,-7.092958,2.6972587,-1.0029321,1.2087135,-1.1172696,8.581,8.501752,8.103087,0.76608956,0.56440336,2.8705218,15.919999
cel\008__[cel][nod][cla]0058__2.wav,cel,3.0,0.009956562,1296.5234975576482,1576.41335871369,2327.5736177884614,0.0689227764423077,-446.79788,126.65075,-26.129934,26.274672,13.105849,3.1261911,0.14311963,8.864169,3.087024,2.44033,-8.264241,-4.982025,-14.137113,-3.0373635,-3.9606094,14.509035,19.695475,14.9183235,4.1777787,8.915889
cel\008__[cel][nod][cla]0058__3.wav,cel,3.0,0.015928295,1441.6649755284025,1627.2171175114474,2482.695500300481,0.081689453125,-400.8372,115.45176,-31.504057,20.905092,10.660571,1.7632918,-8.335675,-2.0766788,-5.4056706,5.0174847,-1.4808927,6.807166,2.9051101,7.014177,-7.1534786,-7.0924606,-1.4804636,12.298854,12.296498,26.16147
cel\012__[cel][nod][cla]0043__1.wav,cel,3.0,0.017609332,1615.4077346034187,1879.9683150394224,3080.5731670673076,0.08168194110576923,-311.08597,125.909775,-20.341791,31.49246,6.5428786,4.1347494,-8.606092,0.06283534,-5.1121902,-2.4607472,-5.867075,0.7718283,2.9259107,2.8061767,-4.1195264,3.5084908,-3.5086303,-3.650985,-2.52059,5.1560855
cel\012__[cel][nod][cla]0043__2.wav,cel,3.0,0.020053962,1758.0061231136194,1952.7324998635386,3300.377478966346,0.08985501802884616,-305.2327,116.129875,-23.545818,19.311094,3.0852005,2.5105312,-7.5853915,1.3881035,-1.3380713,-0.54822326,-9.611471,-2.1039608,3.8075616,5.142584,1.1588701,8.053951,1.3631432,-1.2009096,2.161374,11.406509
cel\012__[cel][nod][cla]0043__3.wav,cel,3.0,0.021839242,1931.5207753317266,2027.3814524768386,3569.6253380408652,0.10641150841346154,-290.56995,103.210526,-28.60421,17.878883,3.431499,0.964702,-8.432396,1.7936976,-1.3556622,1.7554241,-5.0492754,-0.3832915,1.8033639,7.4047656,-4.222397,4.0486064,-1.4848058,1.046314,2.3511188,4.692295
cel\013__[cel][nod][cla]0025__1.wav,cel,3.0,0.040628266,1467.84650629849,1609.6907708452434,3177.3897611177886,0.07246844951923077,-301.98312,134.23573,-31.48045,70.22073,1.3762859,13.781097,-7.341662,-3.1645887,-7.5596366,1.1508377,-1.5896,-3.5643296,-1.9577845,-0.99785835,6.3752856,9.625744,9.184131,10.134946,5.484276,-16.944126
cel\013__[cel][nod][cla]0025__2.wav,cel,3.0,0.036578096,1263.8230550869396,1505.067056557406,2578.3526141826924,0.055551382211538464,-307.7713,146.15634,-28.89867,52.376293,-3.5865066,8.997546,-16.427544,-8.795327,-15.278536,-1.3425722,-3.9164608,-8.366784,-10.027245,-8.965391,-5.998314,-0.534136,3.2640157,5.175077,8.051054,5.569228
cel\013__[cel][nod][cla]0025__3.wav,cel,3.0,0.04644403,1439.249928115427,1470.3525602575378,2900.6881009615386,0.06464092548076923,-287.96817,132.87192,-47.682247,56.076763,-2.8967817,5.5117064,-13.809661,-11.444372,-12.9797535,-0.11202979,-2.6805382,-9.558902,-2.6348908,-8.410165,-5.8765073,2.9066584,5.443883,5.3695793,11.2192135,5.3566384
cel\014__[cel][nod][cla]0041__1.wav,cel,3.0,0.036121245,1637.4565147869391,1929.276735361742,3136.8907752403848,0.07158578725961538,-270.19507,111.9038,-20.917643,25.67175,6.515472,0.68306404,-10.928852,-3.004753,-4.745995,-0.4184839,-5.693623,-0.57939184,2.2702248,1.2067014,-8.884888,1.3539883,-6.642577,-3.2278574,-0.34609413,11.294962
